Year,Series,REF_AREA,AGE,Units,Value
2011,FB_ATM_TOTL,,,NUMBER,7.35187315184078
2012,FB_ATM_TOTL,,,NUMBER,7.5989285510743
2013,FB_ATM_TOTL,,,NUMBER,8.51632059953079
2014,FB_ATM_TOTL,,,NUMBER,9.2973217072539
2015,FB_ATM_TOTL,,,NUMBER,9.55867046391932
2016,FB_ATM_TOTL,,,NUMBER,10.3416820192947
2017,FB_ATM_TOTL,,,NUMBER,10.9700988632057
2018,FB_ATM_TOTL,,,NUMBER,14.2797566516626
2019,FB_ATM_TOTL,,,NUMBER,16.4573867089331
2004,FB_CBK_BRCH,,Y_GE15,NUMBER,2.55628189320324
2005,FB_CBK_BRCH,,Y_GE15,NUMBER,2.50715594753034
2006,FB_CBK_BRCH,,Y_GE15,NUMBER,2.55036677462178
2007,FB_CBK_BRCH,,Y_GE15,NUMBER,3.4999034467196
2008,FB_CBK_BRCH,,Y_GE15,NUMBER,3.4803390546307
2009,FB_CBK_BRCH,,Y_GE15,NUMBER,4.58851138192634
2010,FB_CBK_BRCH,,Y_GE15,NUMBER,5.09576049577043
2011,FB_CBK_BRCH,,Y_GE15,NUMBER,7.35187315184078
2012,FB_CBK_BRCH,,Y_GE15,NUMBER,8.53735045045396
2013,FB_CBK_BRCH,,Y_GE15,NUMBER,8.61858462274063
2014,FB_CBK_BRCH,,Y_GE15,NUMBER,8.87522780407954
2015,FB_CBK_BRCH,,Y_GE15,NUMBER,9.45314185333567
2016,FB_CBK_BRCH,,Y_GE15,NUMBER,10.2820601627894
2017,FB_CBK_BRCH,,Y_GE15,NUMBER,12.1351117650647
2018,FB_CBK_BRCH,,Y_GE15,NUMBER,15.4667518301598
2019,FB_CBK_BRCH,,Y_GE15,NUMBER,17.7924400939461
